maladie,symptomes,specialite_medicale
Arthrose - cas 1,"douleurs articulaires, raideur, gonflement",Rhumatologie
Sclérose en plaques - cas 2,"troubles visuels, faiblesse, engourdissements",Neurologie
Grippe - cas 3,"fièvre, toux, fatigue, maux de tête",Médecine générale
Arthrose - cas 4,"douleurs articulaires, raideur, gonflement",Rhumatologie
Bronchite chronique - cas 5,"toux grasse, essoufflement, fatigue",Pneumologie
Sclérose en plaques - cas 6,"troubles visuels, faiblesse, engourdissements",Neurologie
Sclérose en plaques - cas 7,"troubles visuels, faiblesse, engourdissements",Neurologie
Anémie - cas 8,"fatigue, pâleur, essoufflement",Hématologie
Asthme - cas 9,"essoufflement, toux, respiration sifflante",Pneumologie
Bronchite chronique - cas 10,"toux grasse, essoufflement, fatigue",Pneumologie
Tuberculose - cas 11,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Hépatite B - cas 12,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Hépatite B - cas 13,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Arthrose - cas 14,"douleurs articulaires, raideur, gonflement",Rhumatologie
Hépatite B - cas 15,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Bronchite chronique - cas 16,"toux grasse, essoufflement, fatigue",Pneumologie
Maladie de Crohn - cas 17,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Anémie - cas 18,"fatigue, pâleur, essoufflement",Hématologie
Bronchite chronique - cas 19,"toux grasse, essoufflement, fatigue",Pneumologie
Hypertension - cas 20,"maux de tête, vertiges, vision floue",Cardiologie
Grippe - cas 21,"fièvre, toux, fatigue, maux de tête",Médecine générale
Migraine - cas 22,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Anémie - cas 23,"fatigue, pâleur, essoufflement",Hématologie
Bronchite chronique - cas 24,"toux grasse, essoufflement, fatigue",Pneumologie
Hypertension - cas 25,"maux de tête, vertiges, vision floue",Cardiologie
Anémie - cas 26,"fatigue, pâleur, essoufflement",Hématologie
Asthme - cas 27,"essoufflement, toux, respiration sifflante",Pneumologie
Arthrose - cas 28,"douleurs articulaires, raideur, gonflement",Rhumatologie
Tuberculose - cas 29,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Asthme - cas 30,"essoufflement, toux, respiration sifflante",Pneumologie
Migraine - cas 31,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Tuberculose - cas 32,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Tuberculose - cas 33,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Tuberculose - cas 34,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Diabète de type 2 - cas 35,"soif excessive, urines fréquentes, fatigue",Endocrinologie
Anémie - cas 36,"fatigue, pâleur, essoufflement",Hématologie
Anémie - cas 37,"fatigue, pâleur, essoufflement",Hématologie
Sclérose en plaques - cas 38,"troubles visuels, faiblesse, engourdissements",Neurologie
Tuberculose - cas 39,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Tuberculose - cas 40,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Anémie - cas 41,"fatigue, pâleur, essoufflement",Hématologie
Arthrose - cas 42,"douleurs articulaires, raideur, gonflement",Rhumatologie
Hypertension - cas 43,"maux de tête, vertiges, vision floue",Cardiologie
Migraine - cas 44,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Hépatite B - cas 45,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Hépatite B - cas 46,"jaunisse, fatigue, douleurs abdominales",Hépato-gastroentérologie
Appendicite - cas 47,"douleur abdominale, nausée, fièvre",Chirurgie générale
Grippe - cas 48,"fièvre, toux, fatigue, maux de tête",Médecine générale
Dermatite atopique - cas 49,"démangeaisons, rougeurs, peau sèche",Dermatologie
Asthme - cas 50,"essoufflement, toux, respiration sifflante",Pneumologie
Dermatite atopique - cas 51,"démangeaisons, rougeurs, peau sèche",Dermatologie
Maladie de Crohn - cas 52,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Migraine - cas 53,"maux de tête, nausées, sensibilité à la lumière",Neurologie
Sclérose en plaques - cas 54,"troubles visuels, faiblesse, engourdissements",Neurologie
Cirrhose hépatique - cas 55,"fatigue, ictère, gonflement abdominal",Hépato-gastroentérologie
Grippe - cas 56,"fièvre, toux, fatigue, maux de tête",Médecine générale
Dermatite atopique - cas 57,"démangeaisons, rougeurs, peau sèche",Dermatologie
Tuberculose - cas 58,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Grippe - cas 59,"fièvre, toux, fatigue, maux de tête",Médecine générale
Maladie de Crohn - cas 60,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Grippe - cas 61,"fièvre, toux, fatigue, maux de tête",Médecine générale
Maladie de Crohn - cas 62,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
Bronchite chronique - cas 63,"toux grasse, essoufflement, fatigue",Pneumologie
Tuberculose - cas 64,"toux persistante, sueurs nocturnes, fièvre",Pneumologie
Bronchite chronique - cas 65,"toux grasse, essoufflement, fatigue",Pneumologie
Maladie de Crohn - cas 66,"diarrhée, douleurs abdominales, fatigue",Gastroentérologie
