maladie,symptomes,specialite_medicale
Appendicite,"douleur abdominale, maux de tête, essoufflement",Pédiatrie
Arthrose,"vertiges, perte de poids, nausées, douleurs articulaires, diarrhée, toux, vomissements, fatigue, essoufflement, jaunisse",Rhumatologie
Asthme,"toux, vomissements, palpitations, vertiges",Pneumologie
Cancer du sein,"éruptions cutanées, douleur abdominale, palpitations, jaunisse",Médecine générale
Colite,"jaunisse, vomissements, essoufflement, vertiges",Gastro-entérologie
Crohn,"diarrhée, douleur abdominale, palpitations",Gastro-entérologie
Diabète,"maux de tête, fatigue, toux, éruptions cutanées, essoufflement, vomissements",Endocrinologie
Epilepsie,"diarrhée, jaunisse, fatigue",Neurologie
Hernie,"vomissements, vertiges, douleur abdominale, essoufflement, diarrhée",Chirurgie générale
Hypertension,"nausées, jaunisse, maux de tête",Cardiologie
Insuffisance rénale,"fièvre, vomissements, vertiges, palpitations, toux",Néphrologie
Paludisme,"vomissements, perte de poids, douleurs articulaires, fatigue, douleur abdominale, essoufflement, jaunisse, fièvre, palpitations, éruptions cutanées, toux",Médecine tropicale
Parkinson,"vomissements, vertiges, perte de poids, maux de tête, essoufflement",Neurologie
Pneumonie,"fatigue, vertiges, essoufflement, palpitations, nausées, douleur abdominale, vomissements, maux de tête, douleurs articulaires, toux, jaunisse",Pneumologie
Sinusite,"essoufflement, fièvre, toux",ORL
VIH,"douleur abdominale, éruptions cutanées, vertiges",Infectiologie
Pneumonie,"essoufflement, nausées, vomissements",Neurologie
Méningite,"fièvre, maux de tête, raideur de la nuque, vomissements, sensibilité à la lumière",Neurologie
Bronchite,"toux, essoufflement, fièvre, douleur thoracique, fatigue",Pneumologie
Gastrite,"nausées, douleurs abdominales, vomissements, perte d’appétit",Gastro-entérologie
Zona,"éruptions cutanées, douleurs, démangeaisons, fièvre",Dermatologie
Cystite,"brûlures urinaires, douleur pelvienne, fièvre, besoin fréquent d’uriner",Urologie
Lupus,"fatigue, douleurs articulaires, éruptions cutanées, fièvre",Rhumatologie
Hypothyroïdie,"fatigue, prise de poids, constipation, peau sèche, dépression",Endocrinologie
Hyperthyroïdie,"perte de poids, palpitations, nervosité, transpiration excessive",Endocrinologie
Otite,"douleur à l’oreille, fièvre, troubles de l’audition, irritabilité",ORL
Hémorroïdes,"douleur anale, saignement, démangeaisons, gêne en position assise",Gastro-entérologie
Pancréatite,"douleurs abdominales, nausées, vomissements, fièvre, perte de poids",Gastro-entérologie
Sclérodermie,"raideur articulaire, fatigue, épaississement de la peau, essoufflement",Rhumatologie
Cirrhose,"fatigue, jaunisse, douleurs abdominales, vomissements, gonflement abdominal",Hépatologie
Otospongiose,"perte auditive, acouphènes, vertiges, troubles de l’équilibre",ORL
Tétanos,"raideur musculaire, spasmes, difficulté à avaler, fièvre",Infectiologie
Endométriose,"douleurs pelviennes, règles abondantes, fatigue, nausées",Gynécologie
Syndrome de l’intestin irritable,"douleur abdominale, ballonnements, diarrhée, constipation",Gastro-entérologie
Maladie de Basedow,"palpitations, perte de poids, irritabilité, yeux exorbités",Endocrinologie
Glaucome,"vision floue, douleurs oculaires, nausées, perte de vision périphérique",Ophtalmologie
Leucémie,"fatigue, fièvre, saignements, douleurs osseuses, infections fréquentes",Hématologie
Grippe,"vertiges, nausées, maux de tête",Pédiatrie
Glaucome,"jaunisse, éruptions cutanées, douleur abdominale, essoufflement",Chirurgie générale
VIH,"douleur abdominale, palpitations, jaunisse",Endocrinologie
Sclérose,"jaunisse, diarrhée, toux, nausées",ORL
Thyroïdite,"palpitations, fièvre, éruptions cutanées, jaunisse",Hématologie
Grippe,"maux de tête, éruptions cutanées, palpitations, essoufflement",ORL
Bronchite,"douleurs articulaires, maux de tête, jaunisse",Gastroentérologie
Epilepsie,"nausées, palpitations, vomissements",Dermatologie
Arthrose,"nausées, éruptions cutanées, vomissements, essoufflement, maux de tête",Hématologie
Cancer de la peau,"douleur abdominale, vomissements, perte de poids, maux de tête, toux",Médecine générale
Migraine,"éruptions cutanées, douleur abdominale, diarrhée",Neurologie
Conjonctivite,"éruptions cutanées, douleur abdominale, diarrhée, fatigue",Chirurgie générale
Dermatite,"maux de tête, palpitations, douleurs articulaires, fatigue, diarrhée",Endocrinologie
Obésité,"douleur abdominale, nausées, éruptions cutanées",Médecine générale
Insuffisance rénale,"palpitations, douleur abdominale, vertiges, vomissements, toux",Oncologie
Sinusite,"diarrhée, nausées, palpitations, perte de poids",Gastroentérologie
Appendicite,"vertiges, jaunisse, perte de poids, vomissements, diarrhée",Oncologie
VIH,"essoufflement, diarrhée, douleurs articulaires",Gastroentérologie
Gastrite,"perte de poids, palpitations, douleurs articulaires",Endocrinologie
Dermatite,"douleurs articulaires, jaunisse, éruptions cutanées, fatigue",Pédiatrie
Hépatite,"palpitations, douleur abdominale, diarrhée, jaunisse",Chirurgie générale
Insuffisance rénale,"perte de poids, douleurs articulaires, maux de tête, toux, éruptions cutanées",Gastroentérologie
Goutte,"palpitations, éruptions cutanées, diarrhée, douleur abdominale",Ophtalmologie
Hépatite,"palpitations, toux, fièvre, diarrhée",Oncologie
Alzheimer,"maux de tête, fatigue, éruptions cutanées, jaunisse, perte de poids",Pédiatrie
Glaucome,"maux de tête, fièvre, toux",Rhumatologie
Sinusite,"vertiges, douleurs articulaires, fatigue",Endocrinologie
Psoriasis,"douleurs articulaires, vertiges, maux de tête, palpitations",Gastroentérologie
Thyroïdite,"fatigue, essoufflement, fièvre, jaunisse",Hématologie
Arthrose,"jaunisse, vertiges, palpitations",Chirurgie générale
Conjonctivite,"jaunisse, maux de tête, vomissements, nausées",Cardiologie
Pneumonie,"nausées, vomissements, vertiges, essoufflement",Neurologie
Hypertension,"douleurs articulaires, perte de poids, essoufflement, jaunisse, diarrhée",Oncologie
Paludisme,"palpitations, douleurs articulaires, vertiges, nausées",Rhumatologie
Insuffisance rénale,"éruptions cutanées, perte de poids, vomissements, douleur abdominale, jaunisse",ORL
Arthrite,"éruptions cutanées, jaunisse, fatigue, perte de poids, fièvre",Oncologie
Alzheimer,"essoufflement, jaunisse, vertiges, éruptions cutanées, maux de tête",Dermatologie
Cancer du foie,"vertiges, toux, jaunisse, douleur abdominale, éruptions cutanées",Ophtalmologie
Colite,"fièvre, nausées, vertiges, maux de tête",Infectiologie
Arthrose,"douleurs articulaires, nausées, éruptions cutanées, toux, jaunisse",ORL
Gastrite,"palpitations, jaunisse, fièvre",ORL
Arthrose,"nausées, perte de poids, jaunisse, fatigue, maux de tête",Endocrinologie
Lupus,"fièvre, fatigue, essoufflement, perte de poids, éruptions cutanées",Hématologie
Appendicite,"fatigue, vomissements, jaunisse, fièvre, douleurs articulaires",ORL
Lupus,"nausées, douleurs articulaires, diarrhée, vomissements, palpitations",Médecine générale
Arthrose,"nausées, essoufflement, vomissements, maux de tête, douleurs articulaires",Pneumologie
Hépatite,"maux de tête, diarrhée, nausées",Oncologie
Asthme,"nausées, douleurs articulaires, palpitations, essoufflement",Cardiologie
Bronchite,"vomissements, douleurs articulaires, perte de poids, nausées, essoufflement",Neurologie
Migraine,"vomissements, douleurs articulaires, diarrhée",ORL
Otite,"toux, douleur abdominale, diarrhée, douleurs articulaires",Neurologie
Arthrite,"fatigue, maux de tête, jaunisse",ORL
Hypertension,"douleur abdominale, fièvre, fatigue, nausées, vomissements",Ophtalmologie
Hernie,"vomissements, jaunisse, fièvre, palpitations",ORL
Sclérose,"nausées, éruptions cutanées, palpitations",Infectiologie
Ulcère,"éruptions cutanées, palpitations, vomissements, jaunisse",Oncologie
Lupus,"vertiges, jaunisse, palpitations",Gastroentérologie
Arthrite,"diarrhée, essoufflement, jaunisse",Oncologie
Cirrhose,"jaunisse, vertiges, palpitations",Oncologie
Thyroïdite,"toux, diarrhée, douleurs articulaires",Chirurgie générale
Gastrite,"palpitations, douleur abdominale, essoufflement, perte de poids, diarrhée",Pneumologie
Zona,"fatigue, maux de tête, éruptions cutanées",Neurologie
Thyroïdite,"vertiges, jaunisse, essoufflement, fièvre",Rhumatologie
Asthme,"fièvre, vertiges, fatigue, éruptions cutanées",Neurologie
Méningite,"diarrhée, vomissements, douleurs articulaires, jaunisse",Endocrinologie
Crohn,"fatigue, douleurs articulaires, palpitations, essoufflement, vomissements",Gastroentérologie
Obésité,"essoufflement, fatigue, vertiges, toux",Pédiatrie
